year,리프팅시술,슈링크,실리프팅,써마지,울쎄라,인모드,Mean
2016,0.5138447337079486,0.5042169456338393,0.5074871732932742,0.4420709472907362,0.4587767169196189,0.2216331639790885,0.4413382801374177
2017,0.5940259608815567,0.5910336512112243,0.5913488515051769,0.5086472215744363,0.531636403950956,0.3534640522875816,0.528359356901822
2018,0.6551498232578674,0.6511829916476841,0.6772253661995012,0.5849604095628337,0.5739534984836461,0.77160686742008,0.6523464927619353
2019,0.7221571906354515,0.7286117744709436,0.7613616865767758,0.6518206666403307,0.6561246120600581,0.8910867602064885,0.735193781765008
2020,0.8051205184668875,0.8400213942216669,0.8501555104800541,0.7391491916741106,0.746535522818258,0.990637882745382,0.8286033367343931
2021,0.8710486933182248,0.8810929401026621,0.9016504597473044,0.7793944110505515,0.8426965498094445,1.0176482417635762,0.8822552159652938
2022,0.9401892947418228,0.9604151444207512,0.9861133664110658,0.8713375244345531,0.9744662758379464,1.101238782151608,0.9722933979996246
2023,1.0368191019677069,1.0241049633848658,1.0636017282352908,0.9536462962320432,1.1407564102983925,1.167267180743894,1.0643659468103654
2024,1.0914012020538404,1.0792377275224532,1.1237203811920744,1.0417449783205024,1.2994013202356491,1.2186347566588298,1.1423567276638915
2025,1.160262292224909,1.1315737845311875,1.2033425372366624,1.1246216989345383,1.4671610156842372,1.278089002061356,1.2275083884454816
