keyword,method,beta3_interaction,beta3_se,beta3_p,beta3_ci_lower,beta3_ci_upper,r_squared,rho,beta1_time,pattern,beta3_p_bh,significant_bh
리프팅시술,Prais-Winsten,-0.5465794295099525,0.10649552733552445,6.198600359782343e-07,-0.7564406829857134,-0.33671817603419163,0.30031858249535137,,0.5691610247720437,Maturation,1.8595801079347029e-06,True
슈링크,Prais-Winsten,-0.3227023770150407,0.15056780027188862,0.033172058656564016,-0.6194129346198958,-0.025991819410185524,0.32350839302687673,,0.6342477214211498,Maturation,0.06634411731312803,False
실리프팅,Prais-Winsten,-0.5789940100772653,0.10621059586860877,1.3154698578958945e-07,-0.7882937744811591,-0.3696942456733714,0.29472357087020784,,0.46049571974023906,Maturation,7.892819147375367e-07,True
써마지,Prais-Winsten,0.037310149725330984,0.10424762769130233,0.7207557156811351,-0.16812136807206768,0.24274166752272963,0.2712916313675391,,0.3054455206656313,Broadening,0.8649068588173621,False
울쎄라,Prais-Winsten,-0.08424594642066438,0.13336872029318075,0.5282421054107165,-0.34706380849860163,0.17857191565727284,0.3389385452906455,,0.5375558938325894,Maturation,0.7923631581160747,False
인모드,Prais-Winsten,0.08969792763184617,0.9027682559112983,0.9209468796976984,-1.6898062553649602,1.8692021106286525,0.26807729419557136,,0.008624197471339037,Broadening,0.9209468796976984,False
