keyword,beta1_time,beta1_se,beta1_p,beta2_young,beta2_se,beta2_p,beta3_interaction,beta3_se,beta3_p,beta3_ci_lower,beta3_ci_upper,r_squared,n_obs,pattern,beta3_p_bh,significant_bh
리프팅시술,0.5346496873815489,0.0422141440507149,9.220988833648293e-37,28.717134046143375,9.219818856944318,0.0018412095989769417,-0.558051706307709,0.10681837273545508,1.7481090080375602e-07,-0.7674118697563761,-0.34869154285904175,0.5398709168582272,240.0,Maturation,5.244327024112681e-07,True
슈링크,0.39931567841856885,0.06019769128301379,3.280296847117933e-11,14.126493188705298,5.657283096087442,0.012523289363573385,-0.26653113412389257,0.07638834854491247,0.0004845418842290778,-0.41624954611041365,-0.11681272213737148,0.4975711712565719,240.0,Maturation,0.0009690837684581556,True
실리프팅,0.4445190905266314,0.0861213225541851,2.4491986556582826e-07,19.50287506875583,6.337186754409205,0.002087246328626556,-0.5731818641340698,0.09039884329593252,2.2888917874133617e-10,-0.7503603412381776,-0.39600338702996196,0.5926171547221681,240.0,Maturation,1.3733350724480171e-09,True
써마지,0.3327440647266098,0.06394801384598124,1.9572499409022155e-07,8.835119098370114,5.295182351926633,0.09521249109900255,0.052909355956433674,0.10120321861028557,0.6011112852990044,-0.14544530763925978,0.2512640195521271,0.6100445057302495,240.0,Broadening,0.7961297364441384,False
울쎄라,0.5210600499266422,0.10681674651700224,1.0712645208997235e-06,7.715677907828336,8.134701886683018,0.3428804043356194,-0.04669127237713282,0.12365846912516523,0.7057407761945561,-0.28905741824581493,0.19567487349154927,0.6771382411733835,240.0,Maturation,0.7961297364441384,False
인모드,0.7052265700673688,0.1537376949457995,4.4921607168693025e-06,4.757268682408829,9.894703861206976,0.6306661882717997,-0.055121312803741815,0.21335149838812362,0.7961297364441384,-0.4732825656921195,0.36303994008463586,0.5987585726852578,229.0,Maturation,0.7961297364441384,False
