keyword,method,beta3_interaction,beta3_se,beta3_p,beta3_ci_lower,beta3_ci_upper,r_squared,beta1_time,pattern,beta3_p_bh,significant_bh
리프팅시술,Fourier,-0.5580517063077237,0.1068634753263133,1.769058181423903e-07,-0.7675002692100825,-0.34860314340536497,0.5275842319251395,0.5345480004223735,Maturation,5.30717454427171e-07,True
슈링크,Fourier,-0.2665311341238954,0.07632207370869452,0.0004790784742863139,-0.41611964981834804,-0.11694261842944279,0.4914736220996324,0.4003325268159146,Maturation,0.0009581569485726278,True
실리프팅,Fourier,-0.5731818641340796,0.09038149618880413,2.270879928881421e-10,-0.7503263415329798,-0.3960373867351793,0.5880458643056271,0.44483236306436036,Maturation,1.3625279573288527e-09,True
써마지,Fourier,0.05290935595643344,0.10106121006251446,0.6006001058133198,-0.14516697600013184,0.2509856879129987,0.6031924682291159,0.3336445968239532,Broadening,0.7945064185657791,False
울쎄라,Fourier,-0.04669127237713122,0.12370393052723767,0.7058438775187905,-0.289146520956562,0.19576397620229957,0.6732908090375196,0.5207195773538555,Maturation,0.7945064185657791,False
인모드,Fourier,-0.055626507324863836,0.21356754165442898,0.7945064185657791,-0.47421119723430244,0.36295818258457474,0.5972087717516916,0.7046531840442696,Maturation,0.7945064185657791,False
