keyword,age_code,gender,n_obs,n_nonzero,n_missing,expected,completeness_pct,nonzero_pct
울쎄라,10,all,120,120,0,120,100.0,100.0
울쎄라,10,f,120,120,0,120,100.0,100.0
울쎄라,10,m,120,120,0,120,100.0,100.0
울쎄라,11,all,120,120,0,120,100.0,100.0
울쎄라,11,f,120,120,0,120,100.0,100.0
울쎄라,11,m,120,120,0,120,100.0,100.0
울쎄라,3,all,120,120,0,120,100.0,100.0
울쎄라,3,f,120,120,0,120,100.0,100.0
울쎄라,3,m,120,120,0,120,100.0,100.0
울쎄라,4,all,120,120,0,120,100.0,100.0
울쎄라,4,f,120,120,0,120,100.0,100.0
울쎄라,4,m,120,120,0,120,100.0,100.0
울쎄라,5,all,120,120,0,120,100.0,100.0
울쎄라,5,f,120,120,0,120,100.0,100.0
울쎄라,5,m,120,120,0,120,100.0,100.0
울쎄라,6,all,120,120,0,120,100.0,100.0
울쎄라,6,f,120,120,0,120,100.0,100.0
울쎄라,6,m,120,120,0,120,100.0,100.0
울쎄라,7,all,120,120,0,120,100.0,100.0
울쎄라,7,f,120,120,0,120,100.0,100.0
울쎄라,7,m,120,120,0,120,100.0,100.0
울쎄라,8,all,120,120,0,120,100.0,100.0
울쎄라,8,f,120,120,0,120,100.0,100.0
울쎄라,8,m,120,120,0,120,100.0,100.0
울쎄라,9,all,120,120,0,120,100.0,100.0
울쎄라,9,f,120,120,0,120,100.0,100.0
울쎄라,9,m,120,120,0,120,100.0,100.0
인모드,10,all,104,104,0,120,86.7,100.0
인모드,10,f,100,100,0,120,83.3,100.0
인모드,10,m,93,93,0,120,77.5,100.0
인모드,11,all,106,106,0,120,88.3,100.0
인모드,11,f,103,103,0,120,85.8,100.0
인모드,11,m,99,99,0,120,82.5,100.0
인모드,3,all,115,115,0,120,95.8,100.0
인모드,3,f,115,115,0,120,95.8,100.0
인모드,3,m,103,103,0,120,85.8,100.0
인모드,4,all,114,114,0,120,95.0,100.0
인모드,4,f,114,114,0,120,95.0,100.0
인모드,4,m,108,108,0,120,90.0,100.0
인모드,5,all,113,113,0,120,94.2,100.0
인모드,5,f,111,111,0,120,92.5,100.0
인모드,5,m,112,112,0,120,93.3,100.0
인모드,6,all,115,115,0,120,95.8,100.0
인모드,6,f,112,112,0,120,93.3,100.0
인모드,6,m,113,113,0,120,94.2,100.0
인모드,7,all,111,111,0,120,92.5,100.0
인모드,7,f,110,110,0,120,91.7,100.0
인모드,7,m,110,110,0,120,91.7,100.0
인모드,8,all,110,110,0,120,91.7,100.0
인모드,8,f,109,109,0,120,90.8,100.0
인모드,8,m,107,107,0,120,89.2,100.0
인모드,9,all,110,110,0,120,91.7,100.0
인모드,9,f,108,108,0,120,90.0,100.0
인모드,9,m,100,100,0,120,83.3,100.0
