keyword,age_group,gender,year,mean_rsv,total_rsv,proportion
리프팅시술,Middle,all,2016,21.00102,59.60501569444445,0.3523364561743992
리프팅시술,Middle,all,2017,30.60086,89.70180326388889,0.3411398532310101
리프팅시술,Middle,all,2018,53.34356,155.23138138888888,0.34363902145766906
리프팅시술,Middle,all,2019,39.10742416666667,113.67827187500001,0.34401846123830043
리프팅시술,Middle,all,2020,37.13880708333333,105.10851375,0.35333776264468714
리프팅시술,Middle,all,2021,39.337682083333334,115.44456090277778,0.3407495491837139
리프팅시술,Middle,all,2022,45.76007791666667,139.65197013888888,0.3276722689351008
리프팅시술,Middle,all,2023,46.91227625,147.75972166666665,0.3174902857209632
리프팅시술,Middle,all,2024,41.96252333333333,141.99482618055555,0.29552149512810616
리프팅시술,Middle,all,2025,45.14138208333333,157.61787118055554,0.28639761307030126
리프팅시술,Middle,f,2016,20.440818750000002,58.84220527777778,0.3473836280184359
리프팅시술,Middle,f,2017,29.729335416666668,88.45073791666667,0.3361117851235564
리프팅시술,Middle,f,2018,48.973565416666666,142.68065722222224,0.34323899518062445
리프팅시술,Middle,f,2019,39.33771291666667,115.13188041666668,0.3416752403791372
리프팅시술,Middle,f,2020,38.206808333333335,108.048455625,0.3536080928906228
리프팅시술,Middle,f,2021,40.31780583333333,118.54360361111111,0.3401095006829566
리프팅시술,Middle,f,2022,46.779717500000004,143.02811375,0.32706659043107184
리프팅시술,Middle,f,2023,47.2615725,149.96441916666666,0.31515190578289565
리프팅시술,Middle,f,2024,41.316427499999996,143.29999020833333,0.2883212164908949
리프팅시술,Middle,f,2025,43.8129525,159.45110965277775,0.27477358166655286
리프팅시술,Middle,m,2016,16.5476075,42.84875652777778,0.3861864110169125
리프팅시술,Middle,m,2017,24.213589166666665,63.58291944444444,0.38081908440557344
리프팅시술,Middle,m,2018,53.28081958333333,135.97059791666666,0.391855448160844
리프팅시술,Middle,m,2019,25.493317083333334,67.76973555555556,0.3761755431734671
리프팅시술,Middle,m,2020,21.149988333333333,57.49522993055555,0.36785640058973446
리프팅시술,Middle,m,2021,23.350395416666668,65.34776590277778,0.3573250759851011
리프팅시술,Middle,m,2022,27.932292916666665,82.5534888888889,0.33835387568248676
리프팅시술,Middle,m,2023,31.516812083333335,91.51992847222222,0.344371030544448
리프팅시술,Middle,m,2024,32.222930416666664,93.38414701388888,0.34505782241469957
리프팅시술,Middle,m,2025,36.548284583333334,103.71602680555556,0.35238801281747156
리프팅시술,Traditional,all,2016,10.998792916666666,59.60501569444445,0.18452797618660507
리프팅시술,Traditional,all,2017,19.379214375,89.70180326388889,0.2160404102244114
리프팅시술,Traditional,all,2018,35.57141,155.23138138888888,0.22915089514590975
리프팅시술,Traditional,all,2019,29.585385208333335,113.67827187500001,0.26025540959019206
리프팅시술,Traditional,all,2020,34.914411666666666,105.10851375,0.33217491543749156
리프팅시술,Traditional,all,2021,48.352555208333335,115.44456090277778,0.41883788053950577
리프팅시술,Traditional,all,2022,62.20939416666667,139.65197013888888,0.44546019726608366
리프팅시술,Traditional,all,2023,64.29644208333333,147.75972166666665,0.435141873293323
리프팅시술,Traditional,all,2024,60.393728958333334,141.99482618055555,0.4253234472186953
리프팅시술,Traditional,all,2025,69.477539375,157.61787118055554,0.44079734648497826
리프팅시술,Traditional,f,2016,9.15219125,58.84220527777778,0.15553786957499358
리프팅시술,Traditional,f,2017,16.9928575,88.45073791666667,0.19211662785684974
리프팅시술,Traditional,f,2018,31.96187625,142.68065722222224,0.2240098754256509
리프팅시술,Traditional,f,2019,29.204075,115.13188041666668,0.2536575872322187
리프팅시술,Traditional,f,2020,35.787575625,108.048455625,0.33121783571999114
리프팅시술,Traditional,f,2021,49.824425,118.54360361111111,0.4203046261648313
리프팅시술,Traditional,f,2022,63.72323458333333,143.02811375,0.44552943412730517
리프팅시술,Traditional,f,2023,65.5064925,149.96441916666666,0.4368135646042661
리프팅시술,Traditional,f,2024,60.74938854166667,143.29999020833333,0.42393156100951296
리프팅시술,Traditional,f,2025,69.26437854166666,159.45110965277775,0.43439257771549805
리프팅시술,Traditional,m,2016,14.822848749999999,42.84875652777778,0.3459341635828035
리프팅시술,Traditional,m,2017,22.49257916666667,63.58291944444444,0.3537519095253176
리프팅시술,Traditional,m,2018,39.1344125,135.97059791666666,0.28781525638347644
리프팅시술,Traditional,m,2019,21.803552916666664,67.76973555555556,0.32172993944756917
리프팅시술,Traditional,m,2020,20.71051770833333,57.49522993055555,0.36021279910260573
리프팅시술,Traditional,m,2021,28.282460208333333,65.34776590277778,0.4327991908768699
리프팅시술,Traditional,m,2022,38.65652875,82.5534888888889,0.468260388146998
리프팅시술,Traditional,m,2023,41.1425225,91.51992847222222,0.4495471443958506
리프팅시술,Traditional,m,2024,42.77547104166666,93.38414701388888,0.45805923606396204
리프팅시술,Traditional,m,2025,50.47943583333333,103.71602680555556,0.4867081529065033
리프팅시술,Young,all,2016,27.605202777777777,59.60501569444445,0.4631355676389957
리프팅시술,Young,all,2017,39.72172888888889,89.70180326388889,0.4428197365445785
리프팅시술,Young,all,2018,66.31641138888888,155.23138138888888,0.4272100833964212
리프팅시술,Young,all,2019,44.985462500000004,113.67827187500001,0.3957261291715075
리프팅시술,Young,all,2020,33.055295,105.10851375,0.31448732191782136
리프팅시술,Young,all,2021,27.754323611111108,115.44456090277778,0.2404125702767803
리프팅시술,Young,all,2022,31.682498055555556,139.65197013888888,0.22686753379881555
리프팅시술,Young,all,2023,36.551003333333334,147.75972166666665,0.24736784098571385
리프팅시술,Young,all,2024,39.63857388888889,141.99482618055555,0.27915505765319854
리프팅시술,Young,all,2025,42.99894972222222,157.61787118055554,0.27280504044472065
리프팅시술,Young,f,2016,29.249195277777776,58.84220527777778,0.4970785024065705
리프팅시술,Young,f,2017,41.728545000000004,88.45073791666667,0.47177158701959393
리프팅시술,Young,f,2018,61.74521555555555,142.68065722222224,0.43275112939372457
리프팅시술,Young,f,2019,46.590092500000004,115.13188041666668,0.404667172388644
리프팅시술,Young,f,2020,34.054071666666665,108.048455625,0.3151740713893861
리프팅시술,Young,f,2021,28.401372777777777,118.54360361111111,0.23958587315221208
리프팅시술,Young,f,2022,32.52516166666667,143.02811375,0.22740397544162308
리프팅시술,Young,f,2023,37.19635416666667,149.96441916666666,0.24803452961283828
리프팅시술,Young,f,2024,41.23417416666667,143.29999020833333,0.28774722249959217
리프팅시술,Young,f,2025,46.373778611111106,159.45110965277775,0.2908338406179492
리프팅시술,Young,m,2016,11.478300277777777,42.84875652777778,0.2678794254002839
리프팅시술,Young,m,2017,16.876751111111112,63.58291944444444,0.26542900606910896
리프팅시술,Young,m,2018,43.55536583333333,135.97059791666666,0.3203292954556796
리프팅시술,Young,m,2019,20.472865555555554,67.76973555555556,0.30209451737896376
리프팅시술,Young,m,2020,15.634723888888887,57.49522993055555,0.2719308003076598
리프팅시술,Young,m,2021,13.714910277777777,65.34776590277778,0.20987573313802896
리프팅시술,Young,m,2022,15.964667222222223,82.5534888888889,0.19338573617051516
리프팅시술,Young,m,2023,18.86059388888889,91.51992847222222,0.20608182505970146
리프팅시술,Young,m,2024,18.385745555555555,93.38414701388888,0.19688294152133842
리프팅시술,Young,m,2025,16.68830638888889,103.71602680555556,0.16090383427602512
슈링크,Middle,all,2016,5.4079404166666665,9.168178958333332,0.5898598228987632
슈링크,Middle,all,2017,9.832680833333333,17.022297291666668,0.5776353605424903
슈링크,Middle,all,2018,28.76450416666667,57.16700986111111,0.5031661483878701
슈링크,Middle,all,2019,47.945481666666666,95.63112513888889,0.5013585440622342
슈링크,Middle,all,2020,47.99751666666666,91.51292111111111,0.524488958323056
슈링크,Middle,all,2021,50.33332416666667,92.93272041666667,0.5416103600647403
슈링크,Middle,all,2022,61.45550541666666,114.27490354166666,0.5377865437817577
슈링크,Middle,all,2023,60.63171,118.31300555555555,0.5124686818266105
슈링크,Middle,all,2024,53.43318541666667,104.63869361111111,0.5106446150336192
슈링크,Middle,all,2025,58.34093166666667,127.05316951388889,0.45918517334027703
슈링크,Middle,f,2016,5.529709583333333,9.844632291666667,0.5616979303548136
슈링크,Middle,f,2017,10.554307916666668,19.0266425,0.554712052673858
슈링크,Middle,f,2018,29.72185958333333,62.20985972222222,0.4777676676341431
슈링크,Middle,f,2019,49.73949041666666,102.16127069444444,0.486872276338782
슈링크,Middle,f,2020,49.00018958333334,96.34330465277779,0.5085998426141858
슈링크,Middle,f,2021,50.05521041666666,95.44516868055555,0.5244394358419118
슈링크,Middle,f,2022,64.16152833333334,123.146449375,0.5210180939764779
슈링크,Middle,f,2023,62.50412708333334,125.94465708333334,0.4962824825667393
슈링크,Middle,f,2024,55.28677291666667,112.53245111111111,0.4912962649509713
슈링크,Middle,f,2025,58.64610666666667,132.74949402777779,0.441780265123986
슈링크,Middle,m,2016,4.878697916666667,7.814451666666667,0.6243173705299434
슈링크,Middle,m,2017,6.750341249999999,11.670148263888887,0.5784280625540705
슈링크,Middle,m,2018,24.54459375,46.21992409722222,0.5310392483200792
슈링크,Middle,m,2019,39.84576875,79.4964598611111,0.5012269580257392
슈링크,Middle,m,2020,42.887010000000004,79.54586680555556,0.5391481886146815
슈링크,Middle,m,2021,50.42938958333334,88.05326611111111,0.5727145830081803
슈링크,Middle,m,2022,48.706715833333334,85.65743229166667,0.5686221794214563
슈링크,Middle,m,2023,51.26439083333333,95.44467534722223,0.537111060903465
슈링크,Middle,m,2024,44.33408458333333,80.57611840277777,0.5502137042854246
슈링크,Middle,m,2025,55.54079000000001,111.67955430555557,0.4973228120882382
슈링크,Traditional,all,2016,1.4566885416666666,9.168178958333332,0.15888526481506154
슈링크,Traditional,all,2017,2.6800697916666665,17.022297291666668,0.15744465895203846
슈링크,Traditional,all,2018,7.982290416666667,57.16700986111111,0.1396310640710415
슈링크,Traditional,all,2019,15.424718750000002,95.63112513888889,0.16129391688739486
슈링크,Traditional,all,2020,16.905661666666667,91.51292111111111,0.18473524242702874
슈링크,Traditional,all,2021,22.93396375,92.93272041666667,0.24678029059275225
슈링크,Traditional,all,2022,31.366988958333334,114.27490354166666,0.2744871182227371
슈링크,Traditional,all,2023,34.719055,118.31300555555555,0.293450874964859
슈링크,Traditional,all,2024,29.76262125,104.63869361111111,0.284432270920856
슈링크,Traditional,all,2025,47.214110624999996,127.05316951388889,0.37160907363148277
슈링크,Traditional,f,2016,1.3076018749999998,9.844632291666667,0.132823841080064
