keyword,gender,year,Traditional,Young,YTR
리프팅시술,all,2016,0.18452797618660507,0.4631355676389957,2.509839305724824
리프팅시술,all,2017,0.2160404102244114,0.4428197365445785,2.049707904574893
리프팅시술,all,2018,0.22915089514590975,0.4272100833964212,1.86431775937161
리프팅시술,all,2019,0.26025540959019206,0.3957261291715075,1.520529889444499
리프팅시술,all,2020,0.33217491543749156,0.31448732191782136,0.9467521697224647
리프팅시술,all,2021,0.41883788053950577,0.2404125702767803,0.5739991090755795
리프팅시술,all,2022,0.44546019726608366,0.22686753379881555,0.509288001916145
리프팅시술,all,2023,0.435141873293323,0.24736784098571385,0.5684762974280958
리프팅시술,all,2024,0.4253234472186953,0.27915505765319854,0.6563359238214321
리프팅시술,all,2025,0.44079734648497826,0.27280504044472065,0.6188899334810707
리프팅시술,f,2016,0.15553786957499358,0.4970785024065705,3.1958680144252645
리프팅시술,f,2017,0.19211662785684974,0.47177158701959393,2.455652029095166
리프팅시술,f,2018,0.2240098754256509,0.43275112939372457,1.9318395163223734
리프팅시술,f,2019,0.2536575872322187,0.404667172388644,1.5953284772758598
리프팅시술,f,2020,0.33121783571999114,0.3151740713893861,0.9515612910889004
리프팅시술,f,2021,0.4203046261648313,0.23958587315221208,0.5700291127851004
리프팅시술,f,2022,0.44552943412730517,0.22740397544162308,0.5104129110729975
리프팅시술,f,2023,0.4368135646042661,0.24803452961283828,0.5678269854956236
리프팅시술,f,2024,0.42393156100951296,0.28774722249959217,0.6787586699475182
리프팅시술,f,2025,0.43439257771549805,0.2908338406179492,0.6695184391673205
리프팅시술,m,2016,0.3459341635828035,0.2678794254002839,0.7743653376870474
리프팅시술,m,2017,0.3537519095253176,0.26542900606910896,0.7503252955588994
리프팅시술,m,2018,0.28781525638347644,0.3203292954556796,1.112968434963303
리프팅시술,m,2019,0.32172993944756917,0.30209451737896376,0.9389692420222977
리프팅시술,m,2020,0.36021279910260573,0.2719308003076598,0.754917096186249
리프팅시술,m,2021,0.4327991908768699,0.20987573313802896,0.4849263528261493
